Word,Definition
βεβαιωτής,one who gives assurance of
βεβηλόω,profane
βεβόλημαι,to be stricken
βεκκεσέληνος,"superannuated, doting"
βεκός,bread
βελόνη,needle
βελονοπώλης,needle-seller
βελτίων,better
βελτιόω,improue
βεμβικιάω,spin like a top
βήξ,cough
βήσσω,cough
βῆ,baa
βῆμα,"step, pace,"
βῆσσα,"wooded combe, glen"
βῆτα,the letter
βηλός,threshold
βητάρμων,dancer
βηταρμός,dance
βία,"bodily strength, force"
βίαιος,"forcible, violent"
βίβλος,the inner bark of the papyrus
βίος,life
βίοτος,life
βιάω,constrain
βιάζω,constrain
βιαιότης,violence
βιασμός,violence
βιβάω,stride
βιβάζω,"cause to mount, exalt"
βιβλίον,strip of
βιβρώσκω,"eat, eat up"
βινέω,"inire, coïre"
βινητιάω,coïre cupio
βιός,a bow
βιός,bow
βιότιον,scant living
βιόω,"live, pass one's life"
βιοθρέμμων,life-supporting
βιοτεύω,live
βιοτή,"living, sustenance"
βιοτήσιος,supporting life
βιώνης,one who buys food
βιώσιμος,to be lived
βιώσκομαι,"quicken, make"
βιωτός,"to be lived, worth living"
βλάβη,"harm, damage"
βλάξ,"stolid, stupid"
βλάπτω,"disable, hinder"
βλάσφημος,"speaking ill-omened words, evil-speaking"
βλάστη,growth
βλάστημα,"offspring, offshoot"
βλάψις,"harming, damage"
βλαβερός,harmful
βλακεία,slackness
βλακεύω,"to be slack, lazy"
βλακικός,stupid
βλασφημέω,speak profanely of sacred things
βλασφημία,"word of evil omen, profane speech"
βλαστάνω,"bud, sprout, grow"
βλαστάω,bring forth
βλαστημός,growth
βλαύτη,slipper
βλαυτόω,beat with slippers
βλαψίφρων,maddening
βλέφαρον,eyelids
βλέμμα,"look, glance"
βλέπος,look
βλέπω,"see, have the power of sight"
βλέψις,act of sight
βλεφαρίς,eyelash
βλήχων,"pennyroyal, Mentha Pulegium"
βλῆμα,"throw, cast"
βλῆτρον,fastening: band
βληχάομαι,bleat
βληχή,bleating
βληχρός,"faint, gentle"
βληχωνίας,prepared with pennyroyal
βλίτον,"blite, Amaranthus Blitum"
βλίττω,"cut out the comb of bees, take the honey"
βλιμάζω,feel
βλιτομάμμας,booby
βλοσυρόφρων,savage-minded
βλοσυρός,"hairy, shaggy, bristling"
βλύζω,"bubble, gush forth"
βλώσκω,go or come
βλωθρός,tall
βόα,fish
βόαμα,"shriek, cry"
βόειος,of an ox
βόησις,"cry, shout for assistance"
βόλβα,"vulva,"
βόλιτον,cow-dung
βόλος,throw with a casting-net
βόμβος,"booming, humming"
βόθρος,"hole, trench"
βόρβορος,"mire, filth"
βόρειος,"from the quarter of the north wind, northern"
βόσκημα,that which is fed
βόσκω,"feed, tend"
βόστρυχος,"curl, lock of hair"
βότρυον,cluster of berries
βότρυς,bunch of grapes
βοάω,"cry aloud, shout"
βοείη,"an ox-hide, ox-hide shield"
βοεύς,rope of ox-hide
βοή,"loud cry, shout"
βοήθαρχος,captain of auxiliaries
βοήθεια,"help, aid"
βοήθημα,resource
βοήθησις,"aid, succour"
βοηδρομέω,"run to a cry for aid, haste to help"
βοηλάτης,"one that drives away oxen, cattle-lifter"
βοηλατέω,drive away oxen
βοηθέω,"come to aid, succour, assist, aid"
βοηθητέος,one must help
βοηθός,"assisting, auxiliary"
βοητής,clamorous
βοιωτιάζω,speak Boeotian
βολβός,"purse-tassels, Muscari comosum"
βολέω,to be stricken
βολή,throw
βολίτινος,of cow-dung
βομβαύλιος,bagpiper
βομβέω,make a booming noise
βομβηδόν,"buzzing, with a hum"
βομβώδης,N A
βοόω,change into an ox
βοοκτασία,slaying of oxen
βοθρόω,pitting
βορά,food
βοράω,"eat,"
βορβορόθυμος,muddy-minded
βορβοροτάραξις,mud-stirrer
βορός,gluttonous
βορός,juice of pressed grapes
βοσκάς,"feeding, f.d"
βοσκή,"fodder, food, pasturage"
βοσκητέον,one must feed
βοσκητέος,one must feed
βοσκός,herdsman
βοστρυχώδης,curly
βοτάνη,pasture
βοτήρ,herdsman
βοτόν,beast
βοτρυόδωρος,grape-producing
βοτρυόεις,"full of grapes, clustering"
βούφονος,"ox-slaying,"
βούγλωσσον,buglossos
βούγλωσσος,sole
βούκερως,horned like an ox
βούκολος,tending kine
βούκρανος,bull-headed
βούλαρχος,president of the senate
βούλευμα,"resolution, purpose"
βούλευσις,deliberation
βούλημα,purpose
βούλησις,willing
βούλιος,sage
βούλομαι,"will, wish, be willing"
βούνομος,grazed by cattle
βούπαις,big boy
βούπρηστις,poisonous beetle
βούθυτος,of
βούσταθμον,ox-stall
βούτης,herdsman
βούτομον,"sedge, Carex riparia"
βούτυρον,butter
βοῦνις,hilly
βοῦς,"bullock, bull, ox"
βουβών,groin
βουβωνιάω,suffer from swollen groins
βουφόνος,"ox-slaying, ox-offering"
βουφόρβια,herd of oxen
βουφονέω,slaughter oxen
βουφορβέω,tend cattle
βουκόλιον,herd of cattle
βουκόλος,"a cowherd, herdsman"
βουκολέω,tend cattle
βουκολία,"herd of cattle,"
βουκολικός,"rustic, pastoral"
βουλαῖος,of the council
βουλεία,office of councillor
βουλεύω,"take counsel, deliberate"
βουλευτέον,one must take counsel
βουλευτέος,one must take counsel
βουλευτήριον,council-chamber
βουλευτήριος,giving advice
βουλευτής,"councillor, senator"
βουλευτικός,of
βουλευτός,"devised, plotted"
βουλή,"will, determination"
βουληγορέω,speak in the Senate
βουλητός,that is
βουλιμία,ravenous hunger
βουλιμιάω,suffer from
βουλόμαχος,strife-desiring
βουλυτός,time for unyoking oxen (early afternoon
βουνόμος,of oxen at pasture
βουνομέω,pasture cattle
βουπελάτης,herdsman
βουθόρος,vaccas iniens
βουθυτέω,slay
βουτύπος,"ox-butcher, slaughterer"
βοών,"cow-house, byre,"
βράγχιον,fin
βράγχος,hoarseness
βράσσω,"shake violently, throw up"
βράχεα,shallows
βραβεύς,judge at the games
βραβεύω,act as judge
βραδύνω,"make slow, delay"
βραδύς,slow
βραδυτής,"slowness, sluggishness"
βραγχάω,to have a sore throat
βραγχός,hoarse
βραγχός,hoarse
βραγχώδης,subject to hoarseness
βρασμός,boiling up
βραχεῖν,"rattle, clash, ring"
βραχίων,arm
βραχύβιος,short-lived
βραχύς,short
βραχύτης,shortness
βραχυλογέω,to be brief in speech
βραχυλογία,brevity in speech
βρέφος,"babe in the womb, foetus"
βρέγμα,front part of the head
βρέμω,roar
βρένθος,water-bird
βρέτας,wooden image
βρέχω,Acut.(Sp.
βρεφόω,"form into a foetus, engender"
βρεκεκεκέξ,the croaking of frogs
βρενθύομαι,"bear oneself haughtily, hold one's head high, swagger"
βρίμη,"strength, might,"
βρίθω,to be heavy
βρίζα,"rye, Secale cereale"
βρίζω,"to be sleepy, nod"
βρῖθος,weight
βριάω,make strong and mighty
βριαρός,strong
βριμάομαι,"snort with anger, to be indignant"
βριμάζω,roar like a lion
βριθοσύνη,weight
βριθύς,heavy
βρόγχος,"trachea, windpipe"
βρόμος,any loud noise
βρόμος,"oats, Avena sativa"
βρόντημα,thunder-clap
βρότειος,"mortal, human"
βρότεος,"mortal, of men"
βρότος,"blood that has run from a wound, gore"
βρότος,"blood that has run from a wound, gore"
βρόχος,"noose, slip-knot"
βρόχω,gulp down
βρομέω,buzz
βροντάω,thunder
βροντή,thunder
βροντησικέραυνος,sending thunder and lightning
βροτήσιος,mortal
βροτόομαι,to be stained with gore
βροτός,mortal man
βροτοφθόρος,man-destroying
βροτοκτονέω,murder men
βροτολοιγός,"plague of man, bane of men"
βροτοσκόπος,taking note of man
βροτοστυγής,hated by men
βροχή,rain
βρύκω,bite
βρύλλω,cry for drink
βρύον,"oyster-green, Ulva Lactuca"
βρύω,to be full to bursting
βρύχημα,"roar, roaring"
βρύχιος,"from the depths of the sea, deep"
βρύζω,griúti
βρῦν,drink
βρυάζω,"swell, teem"
βρυώδης,full of seaweed
βρυχάομαι,"roar, bellow"
βρυχή,gnashing
βρυχηδόν,"with gnashing of teeth,"
βρυχιάω,chatter
βρώμη,food
βρώμησις,braying of an ass
βρώσιμος,eatable
βρῶμα,"that which is eaten, food, meat"
βρῶσις,meat
βρωμάομαι,bray
βρωμέω,smell rank
βρωμώδης,"stinking, foul-smelling"
βρωτήρ,eating
βρωτός,to be eaten
βύβλος,"the Egyptian papyrus, Cyperus Papyrus"
βύκτης,"swelling, blustering"
βύθιος,"in the deep, sunken"
βύρσα,"skin stripped off, hide"
βύρσινος,leathern
βύσσινος,made of
βύω,stuff
βύζην,"close pressed, closely"
βύζω,to be frequent
βύζω,hoot
βυκάνημα,sound of the trumpet
βυκανητής,trumpeter
βυνέω,to stuff
βυθάω,strike deep
βυθίζω,sink
βυθός,the depth
βυρσαίετος,leather-eagle
βυρσεύς,a tanner
βυρσίνη,leathern thong
βυρσοδέψης,tanner
βυρσοδεψέω,dress
βυρσοπαφλαγών,leather-Paphlagonian
βυρσοπώλης,leather-seller
βυσσόφρων,deep-thinking
βῶλαξ,"sod, clod"
βῶλος,"lump, clod of earth"
βωλάζω,cloddy
βωλοκοπέω,break clods of earth
βωμόλοχος,"one that waited about the altars, to beg or steal some of the meat offered thereon"
βωμός,"raised platform, stand"
βωμολόχευμα,ribald jests
βωμολόχος,"one that lurked about the altars for the scraps that could be got there, a half-starved beggar"
βωμολοχέω,beg
βωμολοχεύομαι,"play the buffoon, indulge in ribaldry"
βωστρέω,call on
ξάνθη,"a pale-coloured stone,"
ξαίνω,"scratch, comb,"
ξανάω,grow weary with carding wool
ξανθίζω,make yellow
ξανθός,"yellow,"
ξανθόω,"dye yellow,"
ξένη,"foreign woman,"
ξένιος,"belonging to friendship and hospitality, hospitable,"
ξένος,"guest-friend,"
ξένος,foreign
ξέσμα,that which is smoothed
ξέστης,"sextarius,"
ξέω,—shave
ξεινήιον,a host's gift
ξενάγησις,"conscriptio,"
ξεναγέω,"to be a leader of mercenaries,"
ξεναγία,office of
ξεναγός,"commander of mercenary troops,"
ξενηλασία,"expulsion of foreigners,"
ξενηλατέω,"banish foreigners,"
ξενία,"hospitality shown to a guest, entertainment,"
ξενίς,road leading abroad
ξενίζω,receive
ξενικός,of
ξενόω,"make one's friend and guest, entertain,"
ξενοδόκος,"one who receives strangers, host,"
ξενοκτόνος,slaying guests
ξενολογέω,"enlist foreign troops,"
ξενοτροφέω,"maintain mercenary troops,"
ξενών,"guest-chamber,"
ξερόν,"terra firma,"
ξερός,dry
ξεστός,"hewn, shaved, planed,"
ξηρά,dry land
ξηραίνω,"—parch, dry up,"
ξηραλοιφέω,"rub dry with oil,"
ξηρός,"dry,"
ξηρότης,"dryness,"
ξίφος,"sword,"
ξῖ,cum;—
ξιφήρης,"armed with a sword, sword in hand,"
ξιφηφόρος,"bearing a sword, sword in hand,"
ξιφίας,"sword fish,"
ξιφίδιον,"dagger,"
ξιφίζω,"dance the sword-dance,"
ξιφοδήλητος,"slain by the sword,"
ξιφουλκός,"drawing a sword,"
ξιφουργός,"sword-cutler,"
ξόανον,image carved
ξουθός,"rapidly moving to and fro, nimble,"
ξύλινος,"of wood, wooden,"
ξύλον,Abh. Berl. Akad.
ξύλοχος,"thicket, copse,"
ξύω,"scratch, scrape,"
ξυλεία,"felling and carrying of wood,"
ξυλεύω,cut wood
ξυλόω,turn into wood :
ξυλοφορέω,"carry wood,"
ξυλουργία,"working of wood, carpentry,"
ξυλών,"place for wood,"
ξυνός,"common, public, general,"
ξυνόω,"cause to participate,"
ξυρέω,"shave,"
ξυρόν,"razor,"
ξυροδόκη,"razor-case,"
ξυροφορέω,"carry a razor,"
ξυστίς,"robe of rich and soft material reaching to the feet,"
ξυστόν,"shaved,"
ξυστός,"shaved, whittled"
ξυστός,walking-place
δάφνη,"sweet bay, Laurus nobilis,"
δάιος,battle
δάις,"war, battle"
δάκνω,"bite,"
δάκος,"animal of which the bite is dangerous, noxious beast,"
δάκρυμα,"that which is wept for, a subject for tears,"
δάκρυον,"tear,"
δάκτυλος,"-finger,"
δάμαλις,"young cow, heifer,"
δάμαρ,"wife, spouse,"
δάμνημι,"forced, seduced,"
δάνεισμα,a loan
δάνος,"gift, present,"
δάος,"firebrand, torch,"
δάπεδον,"level surface,"
δάπις,"carpet, rug,"
δάπτης,"eater, bloodsucker,"
δάπτω,"—devour,"
δάσκιος,"thick-shaded, bushy,"
δάσος,"thicket, copse,"
δάω,learn
δᾶ,by earth
δᾶ,"by earth,"
δαφνηφόρος,"bay-bearing,"
δαφνηφορέω,bear boughs
δαφοινός,tawny
δαήμων,"knowing, experienced in"
δαημοσύνη,"skill, knowledge,"
δαί,what? how?
δαίδαλος,cunningly
δαίφρων,battle
δαίμων,"god, goddess,"
δαίνυμι,give a banquet
δαίς,to kindle
δαίτη,"feast, banquet,"
δαίτης,"priest who divided the victims,"
δαίω,dunō óti
δαίω,divide
δαίζω,"to cleave asunder, cleave"
δαῖσις,"division of property,"
δαιδάλεος,cunningly
δαιδάλλω,"work cunningly, embellish,"
δαικτήρ,a slayer
δαιμόνιον,"divine Power, Divinity,"
δαιμόνιος,of
δαιμονάω,to be under the power of a
δαιμονιάω,"to be possessed of a God,"
δαιόφρων,"unhappy in mind, miserable"
δαιταλεύς,"a banqueter, feaster"
δαιτρεύω,to cut up
δαιτυμών,"one that is entertained, guest,"
δακνάζω,"to be afflicted, mournful,"
δακνώδης,"biting, pungent,"
δακρύω,"weep, shed tears,"
δακρυόεις,"tearful,"
δακρυογόνος,"author of tears,"
δακρυοπετής,"making tears fall,"
δακρυσίστακτος,"in floods of tears,"
δακρυτός,"wept over, tearful,"
δακρυχέων,"bewail, D."
δακτύλιος,"ring, signet,"
δακτυλίδιον,"ring,"
δακτυλόδεικτος,"pointed at with the finger,"
δακτυλοδεικτέω,"point with the finger,"
δαλός,"fire-brand,"
δαμάζω,overpower
δαμώματα,songs sung in public
δανείζω,"put out money at usury, lend,"
δανειστής,money-lender
δανός,"burnt, dry, parched,"
δαπάνη,"cost, expenditure,"
δαπάνημα,"cost, expense,"
δαπανάω,"spend,"
δαπανηρός,"lavish, extravagant,"
δαπανόω,"expend,"
δαρδάπτω,"devour,"
δασμός,"division of spoil,"
δασμοφορέω,"to be subject to tribute,"
δασύνω,make rough
δασύς,"with a shaggy surface,"
δασυπώγων,"shaggy-bearded,"
δατέομαι,"divide among themselves,"
δατήριος,"dividing, distributing,"
δατητής,"distributer,"
δαυλός,"thick, shaggy,"
δαψίλεια,"abundance, plenty,"
δαψιλής,"abundant, plentiful,"
δᾳδίον,"splinter of pine wood,"
δᾳδίς,"a torch-feast,"
δᾳδούχιον,office of the
δᾳδοῦχος,a torch-bearer
δᾳδουχέω,"carry a torch,"
δᾳδουχία,"torch-bearing,"
δέ,but
δέξις,"reception,"
δέφω,soften
δέημα,"entreaty,"
δέησις,"entreaty,"
δέκα,"ten,"
δέκατος,"tenth,"
δέκτωρ,one who takes upon himself
δέλεαρ,"bait,"
δέλφαξ,"pig,"
δέλτα,the letter
δέλτα,anything shaped like a
δέλτος,"writing-tablet,"
δέμας,"bodily frame,"
δέμνιον,"bedstead, mattress,"
δέμω,"build,"
δένδρεον,tree
δένδρον,a tree
δέομαι,lack
δέον,"that which is binding, needful, right,"
δέος,"fear, alarm, affright"
δέος,"fear, alarm,"
δέπας,"beaker, goblet,"
δέργμα,"look, glance,"
δέρκομαι,"see clearly, see,"
δέρμα,"skin, hide,"
δέρω,"skin, flay,"
δέσμα,"bond, fetter,"
δέσμη,"package, bundle,"
δέσμιος,binding
δέσμωμα,"a bond, fetter"
δέσποινα,"mistress, lady of the house,"
δέω,"bind, tie, fetter,"
δέω,"lack, miss, stand in need of,"
δέχομαι,"take, accept, receive,"
δεξαμενή,receptacle
δεξίωσις,"offer of the right hand, greeting,"
δεξιά,"right hand,"
δεξιάζω,"approve,"
δεξιόομαι,"greet with the right hand, welcome,"
δεξιός,on the right hand
δεξιότης,"dexterity,"
δεξιτερός,"right-hand of two,"
δεξιώνυμος,right
δεδίσκομαι,to greet
δεδιότως,"in fear,"
δεδοκημένος,"waiting, watching,"
δείδω,to fear
δείελος,of
δείκηλον,"representation, exhibition,"
δείκνυμι,"bring to light, show forth,"
δείλαιος,"wretched, sorry, paltry,"
δείλακρος,"pitiable,"
δείλη,afternoon
δείλομαι,"verge towards afternoon,"
δεῖ,there is need
δεῖξις,"mode of proof,"
δεῖγμα,"sample, pattern,"
δεῖμα,"fear,"
δεῖνα,"such an one, so-and-so,"
δεῖνος,"different round vessels,"
δεῖπνον,meal
δεῖσα,"slime, filth,"
δειδίσκομαι,"greet, welcome,"
δειδίσσομαι,"frighten, alarm,"
δειελινός,"at evening,"
δεικανάω,"point out, show,"
δεικτέον,"one must show, prove,"
δεικτέος,to be shown
δειλακρίων,pitiable creature;
δειλία,"timidity, cowardice,"
δειλιάω,"to be afraid,"
δειλινός,"in the afternoon,"
δειλόομαι,"to be afraid,"
δειλός,"cowardly,"
δειμαίνω,"to be afraid,"
δειματόω,"frighten,"
δειματοσταγής,"reeking with horror,"
δειμός,"fear, terror,"
δεινάζω,"to be in straits,"
δεινός,"fearful, terrible;"
δεινότης,"terribleness,"
δεινόω,"make terrible: exaggerate,"
δεινοπαθέω,"complain loudly of sufferings,"
δειπνέω,"make a meal,"
δειπνητικός,"fond of dinner,"
δειπνοποιέω,"prepare a dinner,"
δειράς,"ridge of a chain of hills,"
δειρή,"neck, throat,"
δειροτομέω,cut the throat
δεισήνωρ,"fearing man,"
δεισιδαιμονία,"fear of the gods, religious feeling,"
δεκάκις,"ten-times,"
δεκάμνους,weighing
δεκάπαλαι,"a very long time ago,"
δεκάπους,"ten feet long,"
δεκάς,"company of ten,"
δεκάζω,"bribe, corrupt,"
δεκαδεύς,"one of a decury,"
δεκαετής,"ten years old,"
δεκαρχία,the government of ten
δεκασμός,"bribery,"
δεκατάλαντος,weighing
δεκατεύω,"exact tithe from,"
δεκατόω,take tithe of
δεκέτης,"lasting ten years,"
δεκτικός,"fit for receiving,"
δελεάζω,entice
δελφάκιον,"sucking-pig,"
δελφακόομαι,"grow up to pighood,"
δελφίς,"dolphin,"
δελφινίς,"with dolphins for a base,"
δελτόομαι,"note down on tablets for oneself,"
δελτογράφος,"writing on a tablet, recording,"
δεμνιοτήρης,keeping one to one's bed
δενδίλλω,turn the eyes
δενδράς,"wooded,"
δενδρήεις,"wooded,"
δενδρόκομος,"grown with wood,"
δενδρόω,"turn into a tree,"
δενδροκόμος,grown with wood
δενδροκομικός,of
δενδροπήμων,"blasting trees,"
δενδροτομέω,"cut down trees,"
δενδρών,"thicket,"
δεόντως,"as it ought,"
δερματόω,"to be turned into hide,"
δεσμέω,"undergo ankylosis,"
δεσμεύω,"fetter, put in chains,"
δεσμός,"band, bond, anything for tying and fastening,"
δεσμώτης,"prisoner, captive,"
δεσμωμα,"bond, fetter,"
δεσμωτήριον,"prison,"
δεσπόσιος,"verna,"
δεσπόσυνος,of
δεσπότης,"master, lord,"
δεσπόζω,to be lord
δεσποσύνη,"absolute rule, despotism,"
δεσποτέω,"to be despotically ruled,"
δεσποτεία,the power of a master
δετός,"that may be bound,"
δεύτερος,"second,"
δεύω,"wet, drench,"
δεύω,"miss, want,"
δεῦρο,"hither,"
δευσοποιός,"deeply dyed, fast,"
δευτερεῖα,the second prize
δευτερεῖος,"of second quality,"
δευτεριάζω,"play the second part,"
δευτερόω,"do the second time: repeat,"
δεχάς,"receptacle,"
δή,exactness
δήλωσις,"a pointing out, manifestation, explaining, shewing"
δήμαρχος,a governor of the people
δήμευσις,confiscation of one's property
δήμιος,"belonging to the people, public"
δήν,"long, for a long while"
δήνεα,"counsels, plans, arts"
δήποτε,"at some time, once upon a time"
δήπου,"perhaps, it may be"
δήω,"to find, meet with"
δῆξις,"a bite, biting"
δῆγμα,"a bite, sting"
δῆλος,"visible, conspicuous"
δῆμος,"a country-district, country, land"
δῆθεν,"really, in very truth"
δῆρις,"a fight, battle, contest"
δῆτα,"certainly, to be sure, of course"
δηιάλωτος,"taken by the enemy, captive"
δηιόω,"to cut down, slay"
δηιοτής,"battle-strife, battle, death"
δηκτικός,"able to bite, biting, stinging"
δηλαδή,"quite clearly, manifestly"
δηλέομαι,"to hurt, do a mischief to"
δηλητήρ,a destroyer
δηλόω,to make visible
δηλονότι,"quite clearly, manifestly, plainly"
δημαγωγέω,to lead the people
δημαγωγία,leadership of the people
δημαγωγικός,fit for
δημαγωγός,a popular leader
δημαρχέω,to be demarch
δημαρχία,the office
δημεύω,"to declare public property, to confiscate"
δημηγόρος,a popular orator
δημηγορέω,to speak in the assembly
δημηγορία,a speech in the public assembly
δημίζω,"to affect popularity, cheat the people"
δημιόπρατα,goods sold by public authority: confiscated goods
δημιοπληθής,abounding in public
δημιουργέω,"to practise a trade, do work"
δημιουργία,"a making, creating"
δημιουργικός,of
δημιουργός,"one who works for the people, a skilled workman, handicraftsman"
δημόκραντος,ratified by the people
δημόομαι,to talk popularly
δημόθεν,at the public cost
δημόθροος,uttered by the people
δημός,fat
δημόσιος,belonging to the people
δημότερος,"common, vulgar"
δημότης,"one of the people, a commoner, plebeian"
δημοκόπος,a demagogue
δημοκοπέω,to curry mob-favour
δημοκοπικός,of
δημοκρατέομαι,"to have a democratical constitution, live in a democracy"
δημοκρατία,"democracy, popular government"
δημοκρατικός,of
δημοπίθηκος,"a mob-monkey, charlatan"
δημοποίητος,made a citizen
δημορριφής,hurled by the people
δημοσιεύω,to confiscate
δημοσιόω,to confiscate
δημοτελής,"at the public cost, public, national"
δημοτικός,of
δημώδης,"of the people, popular"
δηναιός,long-lived
δηθά,for a long time
δηθύνω,"to tarry, be long, delay"
δηριάομαι,"to contend, wrangle"
δηρόβιος,long-lived
δηρός,"long, too long"
δίαιμος,"bloody,"
δίαιτα,"way of living, mode of life,"
δίαυλος,double pipe
δίδαξις,"teaching, instruction,"
δίδαγμα,"lesson, instruction,"
δίδημι,"bind, fetter,"
δίδυμος,"double, twofold,"
δίδωμι,Aër.
δίεδρος,"sitting apart,"
δίειμι,"go to and fro, roam about,"
δίεμαι,"speed,"
δίερσις,"drawing through,"
δίφορος,"bearing fruit twice in the year,"
δίφροντις,"divided in mind, doubting,"
δίφρος,"chariot-board,"
δίκαιος,observant of custom
δίκαιρον,"bird,"
δίκασις,exercise of the function of a
δίκελλα,"two-pronged fork,"
δίκερκος,"with two tails,"
δίκη,"custom, usage,"
δίκραιρος,"two-horned,"
δίκροος,"forked, cloven,"
δίκροτος,"double-beating,"
δίκταμνον,"dittany of Crete, Origanum Dictamnus."
δίκτυον,net:
δίλογχος,"double-pointed, twofold,"
δίμοιρος,"two-thirds,"
δίμορφος,"two-formed,"
δίνη,"whirlpool, eddy,"
δίνησις,"whirling motion, rotation,"
δίνω,thresh out on the
δίοδος,"way through, passage, pass,"
δίοπος,"ruler, commander,"
δίοπος,"with two holes,"
δίοπτος,"transparent,"
δίπαις,"with two children,"
δίπηχυς,"two cubits long, broad,"
δίπλαξ,in double folds
δίπλεθρος,two
δίπους,"two-footed,"
δίπτυχος,"double-folded, doubled,"
δίπυρος,"twice fired,"
δίθηκτος,"two-edged,"
δίθρονος,"two-throned,"
δίρρυμος,"with two poles,"
δίς,"twice, doubly,"
δίσκηπτρος,"two-sceptred,"
δίσκος,"quoit,"
δίστιχος,"with two rows,"
δίυγρος,"washed out, pale,"
δίω,"put to flight,"
δίωξις,"chase, pursuit,"
δίωγμα,"pursuit, chase,"
δίωσις,"pushing asunder, forcing open,"
δίχα,"in two, asunder,"
δίχηλος,"cloven-hoofed,"
δίχολος,"with double gall,"
δίχοθεν,"from both sides, both ways,"
δίψα,"thirst,"
δίψιος,"thirsty,"
δίζημαι,"seek out, look for"
δίζω,"to be in doubt, at a loss,"
δῖνος,"whirling, rotation,"
δῖος,"heavenly,"
διά,through;
διάβαθρον,"slipper,"
διάβασις,"crossing over, passage,"
διάβολος,"slanderous, backbiting,"
διάβροχος,"very wet, moist,"
διάβρωσις,"eating through,"
διάδεξις,"passage,"
διάδηλος,"distinguishable among others,"
διάδημα,band
διάδοσις,"distribution,"
διάδοχος,succeeding
διάδρομος,running through
διάδυσις,"passing through, passage,"
διάφορος,"different, unlike,"
διάφραγμα,partition
διάγνοια,"deliberation,"
διάγνωσις,"distinguishing,"
διάγραμμα,"figure marked out by lines, plan,"
διάγω,carry over
διάκειμαι,"to be served at table,"
διάκονος,"servant,"
διάκοσμος,"battle-order,"
διάκρισις,"separation, dissolution,"
διάκριτος,separated
διάλεξις,"discourse, argument,"
διάλειμμα,"interstice, gap,"
διάλειψις,"an interval, interstice,"
διάλεκτος,"discourse, conversation,"
διάλιθος,"set with precious stones,"
διάλλαξις,"separation,"
διάλογος,"conversation, dialogue,"
διάλυσις,"separating, parting,"
διάλυσος,"releaser,"
διάμετρον,"measured allowance, soldiers' rations,"
διάμετρος,diametrical
διάνδιχα,"two ways,"
διάνοια,"thought,"
διάπειρα,"crucial experiment, trial, proof,"
διάπλεως,"brim-full,"
διάπλοος,sailing across
διάπυρος,"red-hot,"
διάθεσις,"placing in order, arrangement"
διάρροια,"flowing through, diarrhoea,"
διάσειστος,"shaken about,"
διάσφιγξις,"binding tight, ligature,"
διάσφυξις,"pulsation,"
διάστασις,"parting, separation"
διάστημα,"interval,"
διάστροφος,"twisted, distorted,"
διάταξις,"disposition, arrangement,"
διάταγμα,"ordinance, edict,"
διάτασις,"tension, dilatation,"
διάτορος,"piercing,"
διάτρησις,"perforation: pore,"
διάτριχα,"in three divisions, three ways,"
διάτριψις,"grinding,"
διάχρυσος,"interwoven with gold,"
διάχυσις,"diffusion,"
διάζομαι,"set the warp in the loom,"
διαβάλλω,throw
διαβάσκω,"strut,"
διαβαδίζω,"go across,"
διαβαίνω,"stride, walk"
διαβατός,to be crossed
διαβήτης,"compass,"
διαβιάζομαι,penetrate
διαβιβάζω,carry over
διαβιβρώσκω,"eat up, consume, corrode,"
διαβιόω,"live through, pass,"
διαβλέπω,"stare with eyes wide open,"
διαβοάω,"proclaim, publish,"
διαβολή,"false accusation, slander,"
διαβουλεύομαι,"to discuss pro and con, discuss thoroughly"
διαβουλεύω,"complete its term,"
διαβροχή,"maceration,"
διαξέω,"smooth, polish off,"
διαδατέομαι,"divide among themselves,"
διαδέξιος,"of right good omen,"
διαδέω,"bind on either side,"
διαδέχομαι,"receive one from another,"
διαδείκνυμι,"show plainly,"
διαδεκτήρ,"transmitter,"
διαδηλέομαι,"do great harm to, rend in pieces,"
διαδίδωμι,"pass on, hand over,"
διαδιδράσκω,"run away, escape,"
διαδικάζω,"give judgement,"
διαδικασία,"suit to decide between claimants,"
διαδοχή,taking over from
διαδρασιπολίτης,a citizen who shirks all state burdens
διαδρασιπολῖται,"citizens who shirk all state burdens,"
διαδρομή,running to and fro through
διαδύνω,slip through
διαέριος,"high in air, transcendental"
διαείδω,"discern, distinguish,"
διαείδω,"contend in singing,"
διαφαίνω,"show through, let"
διαφανής,"translucent, transparent,"
διαφέρω,carry over
διαφερόντως,"differently from,"
διαφεύγω,"get away from, escape,"
διαφίημι,"dismiss, disband,"
διαφιλοτιμέομαι,strive emulously
διαφλέγω,"burn up,"
διαφοιτάω,"wander, roam,"
διαφορά,"moving hither and thither,"
διαφορέω,"spread abroad, disperse,"
διαφορότης,"difference,"
διαφθείρω,"destroy utterly,"
διαφθορά,"destruction, ruin,"
διαφθορεύς,"corrupter,"
διαφράζω,show plainly
διαφρέω,"let through, let pass,"
διαφροντίζω,"meditate on, consider,"
διαφύσσω,"draw continually,"
διαφυγή,"refuge, means of escape,"
διαφυλάσσω,"watch closely, guard carefully,"
διαφωνέω,"to be a discord,"
διαγαληνίζω,"make quite calm,"
διαγανακτέω,"to be full of indignation,"
διαγγέλλω,"give notice by a messenger,"
διαγίγνομαι,"go through, pass,"
